id,neighbourhood_cleansed,latitude,longitude,room_type,price,review_scores_rating
75212,Lakewood,33.8465,-118.08244,Private room,65.0,4.84
76561,View Park-Windsor Hills,33.98522,-118.35942,Entire home/apt,109.0,4.83
79502,Silver Lake,34.08285903930664,-118.27875518798828,Entire home/apt,106.0,4.82
79832,Hollywood Hills,34.12801,-118.31919,Entire home/apt,110.0,4.9
80714,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,109.0,4.95
229799,West Los Angeles,34.04682,-118.43568,Entire home/apt,109.0,4.51
242108,Long Beach,33.84705,-118.19424,Entire home/apt,250.0,4.75
253683,Long Beach,33.84731,-118.19586,Entire home/apt,147.0,4.84
2708,Hollywood,34.09625,-118.34605,Private room,69.0,4.86
2732,Santa Monica,34.0044,-118.48095,Private room,118.0,4.41
6033,Woodland Hills,34.16887,-118.64478,Entire home/apt,89.0,4.38
6931,Hollywood,34.0949,-118.34766,Private room,99.0,4.85
7874,Bellflower,33.87687,-118.11444,Private room,65.0,4.88
8021,Pico-Robertson,34.06016,-118.37911,Private room,81.0,4.81
84789,Woodland Hills,34.16708,-118.64441,Entire home/apt,379.0,4.41
85246,Mid-Wilshire,34.05467,-118.36356,Private room,97.0,4.94
86674,Silver Lake,34.08195,-118.2784,Entire home/apt,104.0,4.79
254259,Venice,34.00391,-118.45599,Entire home/apt,174.0,4.94
254320,Studio City,34.1414,-118.40714,Entire home/apt,180.0,4.91
254844,Beverly Crest,34.08851,-118.42911,Entire home/apt,760.0,4.61
255656,Hollywood,34.10336,-118.32366,Entire home/apt,105.0,4.48
255701,Hollywood,34.10336,-118.32366,Entire home/apt,175.0,4.08
255709,Silver Lake,34.08295,-118.27693,Private room,86.0,4.72
256622,West Hollywood,34.0927,-118.36314,Entire home/apt,193.0,4.97
87595,Westchester,33.96731,-118.41919,Entire home/apt,109.0,4.84
90986,Mid-City,34.03948,-118.34081,Entire home/apt,105.0,4.0
96334,Woodland Hills,34.15504,-118.6031,Private room,59.0,4.67
9376,Venice,33.99782,-118.47698,Private room,90.0,4.7
9545,Redondo Beach,33.83866,-118.3872,Private room,70.0,4.84
11511,Hollywood Hills,34.11408,-118.32234,Entire home/apt,172.0,4.83
13776,Redondo Beach,33.83931,-118.38638,Entire home/apt,183.0,4.84
14098,Hollywood Hills,34.11834,-118.31997,Entire home/apt,233.0,4.95
14124,Redondo Beach,33.83931,-118.38638,Entire home/apt,183.0,4.86
15089,Mid-City,34.04276657104492,-118.35211944580078,Entire home/apt,90.0,4.79
15333,Valley Village,34.16614532470703,-118.4123764038086,Entire home/apt,603.0,5.0
18041,Venice,33.99179,-118.45056,Entire home/apt,350.0,4.8
18067,Venice,33.99117,-118.45159,Entire home/apt,156.0,4.47
18433,Del Rey,33.99121,-118.44049,Private room,65.0,4.82
19887,Silver Lake,34.08363,-118.2843,Private room,80.0,4.85
20585,Venice,33.98047,-118.46514,Entire home/apt,140.0,4.92
23710,Highland Park,34.12057,-118.18934,Entire home/apt,156.0,4.94
23925,Venice,34.00299,-118.46556,Entire home/apt,539.0,4.89
23979,Hollywood Hills,34.11957,-118.32013,Entire home/apt,223.0,4.97
257003,Hollywood Hills,34.11513900756836,-118.32440948486328,Entire home/apt,825.0,4.89
259679,Highland Park,34.10707,-118.19155,Entire home/apt,99.0,4.39
262430,Agua Dulce,34.50752,-118.3183,Private room,68.0,4.83
272637,Redondo Beach,33.83951,-118.38002,Private room,72.0,4.9
273119,Venice,33.99618,-118.45439,Entire home/apt,124.0,4.8
286019,Burbank,34.15787,-118.32,Private room,118.0,4.77
286866,Atwater Village,34.11224,-118.25668,Entire home/apt,314.0,4.91
287630,Woodland Hills,34.16658,-118.62265,Private room,58.0,4.89
288428,Van Nuys,34.19141,-118.48034,Private room,96.0,4.91
298259,Mar Vista,33.99795,-118.44521,Entire home/apt,232.0,4.83
299876,Echo Park,34.09014,-118.24872,Entire home/apt,118.0,4.92
300311,Arlington Heights,34.04579,-118.31363,Private room,57.0,4.57
300323,Harvard Heights,34.04612,-118.31176,Shared room,31.0,4.71
300329,Harvard Heights,34.04711,-118.31178,Shared room,36.0,4.71
300343,Harvard Heights,34.04621,-118.31188,Private room,58.0,4.57
300371,Arlington Heights,34.04656,-118.31408,Shared room,31.0,4.65
300407,Harvard Heights,34.04609,-118.31187,Shared room,31.0,4.57
24030,Venice,33.98798,-118.47245,Entire home/apt,130.0,4.8
24041,Redondo Beach,33.83889,-118.38537,Entire home/apt,166.0,4.7
24349,Mount Washington,34.10942,-118.22003,Entire home/apt,450.0,4.98
26082,Woodland Hills,34.1674,-118.64293,Private room,57.0,4.71
30470,Culver City,34.02496,-118.38513,Private room,170.0,4.82
32963,Culver City,33.99327,-118.44407,Entire home/apt,168.0,4.93
101424,Koreatown,34.06247,-118.29005,Entire home/apt,557.0,4.77
101702,Echo Park,34.07332,-118.26331,Entire home/apt,150.0,4.84
106052,Carson,33.8271,-118.27944,Entire home/apt,82.0,4.93
37171,Jefferson Park,34.03419,-118.33101,Entire home/apt,89.0,4.79
40667,Mid-City,34.03926,-118.38017,Private room,53.0,4.3
43318,Downtown,34.04828,-118.23605,Private room,41.0,4.46
44509,Van Nuys,34.1982,-118.4589,Private room,45.0,4.35
45392,Mount Washington,34.10632,-118.22361,Private room,65.0,4.85
45417,Silver Lake,34.09574,-118.27788,Entire home/apt,126.0,4.91
46853,East Hollywood,34.08574,-118.28536,Entire home/apt,150.0,4.9
305722,Lakewood,33.84692,-118.15613,Private room,50.0,4.9
311176,Leimert Park,34.00882,-118.33335,Entire home/apt,125.0,4.43
312387,Broadway-Manchester,33.92483,-118.27031,Entire home/apt,184.0,4.86
320747,Hermosa Beach,33.87213,-118.39654,Entire home/apt,279.0,4.78
321051,View Park-Windsor Hills,33.99125,-118.3474,Entire home/apt,149.0,4.15
321599,Venice,33.977921,-118.463158,Entire home/apt,170.0,4.93
323093,Unincorporated Santa Monica Mountains,34.08267,-118.64594,Entire home/apt,360.0,5.0
106061,Silver Lake,34.08587,-118.2648,Entire home/apt,72.0,4.68
