Store,Promo,POST_Promo,Sales,POST_Sales
1,0.5,0.5,4434.0,4427.5
10,0.5,0.5,4899.75,4928.75
100,0.5,0.5,6665.5,8807.5
1000,0.5,0.5,6423.75,6328.75
1001,0.5,0.5,4702.75,4519.75
1002,0.5,0.5,5697.5,6555.75
1003,0.5,0.5,6723.5,6646.25
1004,0.5,0.5,4414.5,4722.0
1005,0.5,0.5,5273.25,5379.25
1006,0.5,0.5,5758.25,5782.0
1007,0.5,0.5,5960.0,6440.5
1008,0.5,0.5,5070.5,5422.25
1009,0.5,0.5,4571.25,4407.25
101,0.5,0.5,6904.5,6253.5
1010,0.5,0.5,7689.25,8298.25
1011,0.5,0.5,7602.0,7251.25
1012,0.5,0.5,5202.75,5942.0
1013,0.5,0.5,4030.25,4041.75
1014,0.5,0.5,12023.0,11993.25
1015,0.5,0.5,5515.0,6069.0
1016,0.5,0.5,5005.25,5111.25
1017,0.5,0.5,7046.0,6634.75
1018,0.5,0.5,10255.0,10470.25
1019,0.5,0.5,7769.75,8123.25
102,0.5,0.5,6326.75,6643.5
1020,0.5,0.5,8054.75,8207.75
1021,0.5,0.5,7781.0,7875.0
1022,0.5,0.5,6477.75,6511.0
1023,0.5,0.5,5463.75,5501.0
1024,0.5,0.5,5421.75,6128.5
1025,0.5,0.5,7363.75,7432.75
1026,0.5,0.5,8593.75,9110.25
1027,0.5,0.5,12018.25,12248.5
1028,0.5,0.5,4263.75,4654.75
1029,0.5,0.5,5410.25,4955.0
103,0.5,0.5,3900.75,3310.25
1030,0.5,0.5,3208.75,3459.25
1031,0.5,0.5,4072.25,4534.25
1032,0.5,0.5,8171.5,8550.0
1033,0.5,0.5,13077.75,12859.5
1034,0.5,0.5,6268.0,5441.5
1035,0.5,0.5,4547.5,4770.5
1036,0.5,0.5,4239.0,4857.25
1037,0.5,0.5,6426.5,7103.25
1038,0.5,0.5,4840.25,5020.5
1039,0.5,0.5,7592.0,6732.5
104,0.5,0.5,9177.75,9283.25
1040,0.5,0.5,7849.0,7654.25
1041,0.5,0.5,5332.25,5835.0
1042,0.5,0.5,4017.0,4354.75
1043,0.5,0.5,7629.0,8133.0
