Store,Date,DayOfWeek,Sales,Customers,Promo,POST_Promo,POST_Sales
1,2014-02-26,3,4108.0,491,0,0,3481
2,2014-02-26,3,4548.0,632,0,0,3946
3,2014-02-26,3,4580.0,640,0,0,3163
4,2014-02-26,3,6987.0,1100,0,0,7648
5,2014-02-26,3,3568.0,548,0,0,3750
6,2014-02-26,3,4111.0,545,0,0,3030
7,2014-02-26,3,5812.0,746,0,0,6060
8,2014-02-26,3,3719.0,560,0,0,4440
9,2014-02-26,3,5627.0,527,0,0,5487
10,2014-02-26,3,4253.0,560,0,0,3884
11,2014-02-26,3,7000.0,1120,0,0,5960
12,2014-02-26,3,5680.0,794,0,0,5438
13,2014-02-26,3,2820.0,255,0,0,4211
14,2014-02-26,3,4408.0,574,0,0,3520
15,2014-02-26,3,4507.0,488,0,0,4808
16,2014-02-26,3,6439.0,802,0,0,5524
17,2014-02-26,3,4426.0,671,0,0,3525
18,2014-02-26,3,4630.0,627,0,0,5503
19,2014-02-26,3,5543.0,571,0,0,4849
20,2014-02-26,3,6497.0,834,0,0,5743
21,2014-02-26,3,3675.0,384,0,0,4886
22,2014-02-26,3,4192.0,554,0,0,4901
23,2014-02-26,3,4393.0,426,0,0,5270
24,2014-02-26,3,6937.0,663,0,0,7667
25,2014-02-26,3,10499.0,1626,0,0,11837
26,2014-02-26,3,4669.0,430,0,0,5232
27,2014-02-26,3,6027.0,838,0,0,6977
28,2014-02-26,3,4348.0,481,0,0,2660
29,2014-02-26,3,4990.0,531,0,0,6431
30,2014-02-26,3,5228.0,888,0,0,6014
31,2014-02-26,3,4426.0,461,0,0,5020
32,2014-02-26,3,2849.0,414,0,0,4920
33,2014-02-26,3,8052.0,887,0,0,7051
34,2014-02-26,3,6121.0,862,0,0,5149
35,2014-02-26,3,6870.0,599,0,0,6985
36,2014-02-26,3,6648.0,890,0,0,5522
37,2014-02-26,3,4276.0,543,0,0,5804
38,2014-02-26,3,4765.0,516,0,0,4375
39,2014-02-26,3,4511.0,657,0,0,3201
40,2014-02-26,3,4378.0,603,0,0,3524
41,2014-02-26,3,3475.0,327,0,0,4441
42,2014-02-26,3,8588.0,1075,0,0,10004
43,2014-02-26,3,7152.0,737,0,0,8559
44,2014-02-26,3,4379.0,587,0,0,4331
45,2014-02-26,3,3780.0,351,0,0,3954
46,2014-02-26,3,3269.0,486,0,0,3755
47,2014-02-26,3,5289.0,829,0,0,5351
48,2014-02-26,3,3412.0,403,0,0,1426
49,2014-02-26,3,5977.0,448,0,0,5636
50,2014-02-26,3,3070.0,292,0,0,1725
51,2014-02-26,3,4245.0,404,0,0,3961
52,2014-02-26,3,6268.0,451,0,0,7494
53,2014-02-26,3,3767.0,471,0,0,4163
54,2014-02-26,3,4378.0,491,0,0,5882
55,2014-02-26,3,3638.0,503,0,0,3537
56,2014-02-26,3,4603.0,359,0,0,7208
57,2014-02-26,3,7942.0,799,0,0,9659
58,2014-02-26,3,4915.0,443,0,0,5163
59,2014-02-26,3,4552.0,533,0,0,4882
60,2014-02-26,3,6622.0,710,0,0,5913
61,2014-02-26,3,3980.0,520,0,0,2830
62,2014-02-26,3,6975.0,861,0,0,8066
63,2014-02-26,3,4202.0,437,0,0,5934
64,2014-02-26,3,8600.0,753,0,0,6223
65,2014-02-26,3,3352.0,345,0,0,2442
66,2014-02-26,3,3999.0,398,0,0,2896
67,2014-02-26,3,5838.0,696,0,0,6980
68,2014-02-26,3,5541.0,948,0,0,6051
69,2014-02-26,3,6837.0,983,0,0,6884
70,2014-02-26,3,5004.0,580,0,0,5932
71,2014-02-26,3,6651.0,643,0,0,6578
72,2014-02-26,3,3225.0,378,0,0,2978
73,2014-02-26,3,3628.0,475,0,0,5683
74,2014-02-26,3,5844.0,877,0,0,5007
75,2014-02-26,3,4255.0,505,0,0,4347
76,2014-02-26,3,7064.0,788,0,0,9139
