Store,Promo,POST_Promo,Sales,POST_Sales
1,0.5,0.5,4434.0,3930.25
10,0.5,0.5,4899.75,5303.0
100,0.5,0.5,6665.5,6730.75
1000,0.5,0.5,6423.75,6254.5
1001,0.5,0.5,4702.75,4714.5
1002,0.5,0.5,5697.5,5812.75
1003,0.5,0.5,6723.5,6400.5
1004,0.5,0.5,4414.5,3999.25
1005,0.5,0.5,5273.25,6078.0
1006,0.5,0.5,5758.25,5209.5
1007,0.5,0.5,5960.0,6611.25
1008,0.5,0.5,5070.5,5484.75
1009,0.5,0.5,4571.25,4520.0
101,0.5,0.5,6904.5,6850.0
1010,0.5,0.5,7689.25,7941.5
1011,0.5,0.5,7602.0,8008.0
1012,0.5,0.5,5202.75,5853.75
1013,0.5,0.5,4030.25,3794.5
1014,0.5,0.5,12023.0,12009.25
1015,0.5,0.5,5515.0,5621.25
1016,0.5,0.5,5005.25,5613.25
1017,0.5,0.5,7046.0,7474.0
1018,0.5,0.5,10255.0,10277.0
1019,0.5,0.5,7769.75,7853.25
102,0.5,0.5,6326.75,5355.75
1020,0.5,0.5,8054.75,8056.25
1021,0.5,0.5,7781.0,8162.75
1022,0.5,0.5,6477.75,6290.5
1023,0.5,0.5,5463.75,6011.0
1024,0.5,0.5,5421.75,4987.25
1025,0.5,0.5,7363.75,7584.5
1026,0.5,0.5,8593.75,8233.75
1027,0.5,0.5,12018.25,12011.25
1028,0.5,0.5,4263.75,4287.5
1029,0.5,0.5,5410.25,4908.0
103,0.5,0.5,3900.75,5375.75
1030,0.5,0.5,3208.75,2026.0
1031,0.5,0.5,4072.25,5021.75
1032,0.5,0.5,8171.5,8242.25
1033,0.5,0.5,13077.75,13048.5
1034,0.5,0.5,6268.0,6486.25
1035,0.5,0.5,4547.5,4117.0
1036,0.5,0.5,4239.0,4965.75
1037,0.5,0.5,6426.5,7015.0
1038,0.5,0.5,4840.25,5005.5
1039,0.5,0.5,7592.0,6971.0
104,0.5,0.5,9177.75,9848.25
1040,0.5,0.5,7849.0,7658.0
1041,0.5,0.5,5332.25,4798.75
1042,0.5,0.5,4017.0,3441.0
1043,0.5,0.5,7629.0,7208.25
1044,0.5,0.5,6044.75,5289.25
1045,0.5,0.5,6124.5,6146.5
1046,0.5,0.5,7835.5,7274.5
1047,0.5,0.5,4745.75,4653.75
1048,0.5,0.5,5959.75,6336.5
1049,0.5,0.5,3712.5,3951.5
105,0.5,0.5,4193.0,4933.75
1050,0.5,0.5,6856.5,6744.0
1051,0.5,0.5,7191.0,7275.5
1052,0.5,0.5,6674.25,4784.25
1053,0.5,0.5,9054.75,7918.25
1054,0.5,0.5,5486.5,5297.75
1055,0.5,0.5,7178.75,6936.0
1056,0.5,0.5,3234.25,3462.25
1057,0.5,0.5,5379.25,6181.5
1058,0.5,0.5,7018.75,6709.75
1059,0.5,0.5,7736.0,7706.5
106,0.5,0.5,8586.0,7325.75
1060,0.5,0.5,7049.5,7143.0
1061,0.5,0.5,6524.5,6642.25
1062,0.5,0.5,5508.0,6176.25
1063,0.5,0.5,3876.0,3888.25
1064,0.5,0.5,8848.75,8145.25
1065,0.5,0.5,3904.0,4281.75
1066,0.5,0.5,10682.5,10947.5
1067,0.5,0.5,5196.25,4807.5
1068,0.5,0.5,4114.0,3649.5
1069,0.5,0.5,7498.5,5890.75
107,0.5,0.5,6623.25,6732.25
1070,0.5,0.5,6159.5,6810.25
1071,0.5,0.5,5818.25,5601.0
1072,0.5,0.5,7056.5,6619.0
1073,0.5,0.5,6843.5,6622.0
1074,0.5,0.5,4547.5,5081.25
1075,0.5,0.5,9722.75,10288.25
1076,0.5,0.5,3303.5,3534.75
1077,0.5,0.5,4122.0,4021.5
1078,0.5,0.5,6668.25,6983.5
1079,0.5,0.5,8040.75,7565.25
108,0.5,0.5,9298.25,9728.25
1080,0.5,0.5,9665.5,9249.75
1081,0.5,0.5,7257.0,6027.25
1082,0.5,0.5,6605.5,5341.5
1083,0.5,0.5,4540.5,4249.0
1084,0.5,0.5,5389.0,5265.5
1085,0.5,0.5,7266.75,6871.75
1086,0.5,0.5,7079.0,7043.75
1087,0.5,0.5,5247.0,7087.0
1088,0.5,0.5,5422.0,4965.0
1089,0.5,0.5,9170.75,9103.0
109,0.5,0.5,5915.25,5605.5
1090,0.5,0.5,6911.0,5725.5
1091,0.5,0.5,7483.75,7844.75
1092,0.5,0.5,10856.5,10964.0
1093,0.5,0.5,7565.0,7283.0
1094,0.5,0.5,3902.75,4462.75
1095,0.5,0.5,4713.75,4113.75
1096,0.5,0.5,4481.5,4497.0
1097,0.5,0.5,9431.25,9547.5
1098,0.5,0.5,5088.75,4615.0
1099,0.5,0.5,6565.0,6615.0
11,0.5,0.5,7639.75,6728.75
110,0.5,0.5,4107.25,4040.5
1100,0.5,0.5,5000.75,4945.75
1101,0.5,0.5,8421.0,9410.5
1102,0.5,0.5,6642.75,7453.5
1103,0.5,0.5,4385.0,4630.75
1104,0.5,0.5,4679.0,5053.5
1105,0.5,0.5,3917.75,5017.75
1106,0.5,0.5,4612.25,4426.0
1107,0.5,0.5,5394.5,6001.0
1108,0.5,0.5,5664.25,5312.0
1109,0.5,0.5,4811.0,4965.0
111,0.5,0.5,6087.5,6583.5
1110,0.5,0.5,3988.25,3870.0
1111,0.5,0.5,5389.0,5850.0
1112,0.5,0.5,9132.0,9257.75
1113,0.5,0.5,5685.0,5916.75
1114,0.5,0.5,18386.0,18583.25
1115,0.5,0.5,5341.5,6125.25
112,0.5,0.5,6045.75,6692.25
113,0.5,0.5,7449.0,8630.25
114,0.5,0.5,5093.0,4638.0
115,0.5,0.5,6239.75,6811.5
116,0.5,0.5,6608.75,6236.5
117,0.5,0.5,3653.75,3951.25
118,0.5,0.5,6735.25,6984.5
119,0.5,0.5,5903.75,6119.75
12,0.5,0.5,7246.5,7390.25
120,0.5,0.5,6449.0,6118.5
121,0.5,0.5,4043.0,4430.5
122,0.5,0.5,5083.25,4995.5
123,0.5,0.5,8571.5,7279.25
124,0.5,0.5,4006.0,4378.0
125,0.5,0.5,10784.75,10289.75
126,0.5,0.5,5971.75,4676.75
127,0.5,0.5,4857.25,4098.0
128,0.5,0.5,6714.75,7040.25
129,0.5,0.5,8488.0,8316.5
13,0.5,0.5,4239.5,4441.25
130,0.5,0.5,5002.75,4411.0
131,0.5,0.5,5366.75,5670.25
132,0.5,0.5,5438.25,5734.25
133,0.5,0.5,5760.75,5316.75
134,0.5,0.5,4676.5,4317.5
135,0.5,0.5,5049.5,5781.25
136,0.5,0.5,5884.25,5556.5
137,0.5,0.5,7143.5,7595.25
138,0.5,0.5,6816.5,6168.25
139,0.5,0.5,6115.0,5652.0
14,0.5,0.5,5362.75,5431.75
140,0.5,0.5,7134.5,9014.0
141,0.5,0.5,5228.5,5914.5
142,0.5,0.5,4850.25,4270.25
143,0.5,0.5,5667.75,5677.25
144,0.5,0.5,6869.75,7287.0
