Store,Date,DayOfWeek,Sales,Customers,Promo,mean_Promo,POST_Promo,POST_Sales
1,2014-02-26,3,4108.0,491,0,0.0,0,2382
2,2014-02-26,3,4548.0,632,0,0.0,0,3552
3,2014-02-26,3,4580.0,640,0,0.0,0,5873
4,2014-02-26,3,6987.0,1100,0,0.0,0,7394
5,2014-02-26,3,3568.0,548,0,0.0,0,2982
6,2014-02-26,3,4111.0,545,0,0.0,0,4416
7,2014-02-26,3,5812.0,746,0,0.0,0,6759
8,2014-02-26,3,3719.0,560,0,0.0,0,3617
9,2014-02-26,3,5627.0,527,0,0.0,0,5254
10,2014-02-26,3,4253.0,560,0,0.0,0,4556
11,2014-02-26,3,7000.0,1120,0,0.0,0,5428
12,2014-02-26,3,5680.0,794,0,0.0,0,6135
13,2014-02-26,3,2820.0,255,0,0.0,0,4363
14,2014-02-26,3,4408.0,574,0,0.0,0,4018
15,2014-02-26,3,4507.0,488,0,0.0,0,5138
16,2014-02-26,3,6439.0,802,0,0.0,0,5770
17,2014-02-26,3,4426.0,671,0,0.0,0,4706
18,2014-02-26,3,4630.0,627,0,0.0,0,3976
19,2014-02-26,3,5543.0,571,0,0.0,0,5277
20,2014-02-26,3,6497.0,834,0,0.0,0,4083
21,2014-02-26,3,3675.0,384,0,0.0,0,4085
22,2014-02-26,3,4192.0,554,0,0.0,0,4012
23,2014-02-26,3,4393.0,426,0,0.0,0,4193
24,2014-02-26,3,6937.0,663,0,0.0,0,7950
25,2014-02-26,3,10499.0,1626,0,0.0,0,11779
26,2014-02-26,3,4669.0,430,0,0.0,0,3066
27,2014-02-26,3,6027.0,838,0,0.0,0,5742
28,2014-02-26,3,4348.0,481,0,0.0,0,3361
29,2014-02-26,3,4990.0,531,0,0.0,0,6199
30,2014-02-26,3,5228.0,888,0,0.0,0,4816
31,2014-02-26,3,4426.0,461,0,0.0,0,4326
32,2014-02-26,3,2849.0,414,0,0.0,0,5184
33,2014-02-26,3,8052.0,887,0,0.0,0,6308
34,2014-02-26,3,6121.0,862,0,0.0,0,7325
35,2014-02-26,3,6870.0,599,0,0.0,0,6717
36,2014-02-26,3,6648.0,890,0,0.0,0,7259
37,2014-02-26,3,4276.0,543,0,0.0,0,5126
38,2014-02-26,3,4765.0,516,0,0.0,0,4655
39,2014-02-26,3,4511.0,657,0,0.0,0,2628
40,2014-02-26,3,4378.0,603,0,0.0,0,4051
41,2014-02-26,3,3475.0,327,0,0.0,0,6538
42,2014-02-26,3,8588.0,1075,0,0.0,0,8241
43,2014-02-26,3,7152.0,737,0,0.0,0,2467
44,2014-02-26,3,4379.0,587,0,0.0,0,3489
45,2014-02-26,3,3780.0,351,0,0.0,0,4119
46,2014-02-26,3,3269.0,486,0,0.0,0,4248
47,2014-02-26,3,5289.0,829,0,0.0,0,5343
48,2014-02-26,3,3412.0,403,0,0.0,0,2509
49,2014-02-26,3,5977.0,448,0,0.0,0,5079
50,2014-02-26,3,3070.0,292,0,0.0,0,2851
51,2014-02-26,3,4245.0,404,0,0.0,0,5073
52,2014-02-26,3,6268.0,451,0,0.0,0,6573
53,2014-02-26,3,3767.0,471,0,0.0,0,4116
54,2014-02-26,3,4378.0,491,0,0.0,0,5948
55,2014-02-26,3,3638.0,503,0,0.0,0,3237
56,2014-02-26,3,4603.0,359,0,0.0,0,5528
57,2014-02-26,3,7942.0,799,0,0.0,0,9247
58,2014-02-26,3,4915.0,443,0,0.0,0,5483
59,2014-02-26,3,4552.0,533,0,0.0,0,4035
60,2014-02-26,3,6622.0,710,0,0.0,0,5214
61,2014-02-26,3,3980.0,520,0,0.0,0,3126
62,2014-02-26,3,6975.0,861,0,0.0,0,6294
63,2014-02-26,3,4202.0,437,0,0.0,0,5189
64,2014-02-26,3,8600.0,753,0,0.0,0,8145
65,2014-02-26,3,3352.0,345,0,0.0,0,3632
66,2014-02-26,3,3999.0,398,0,0.0,0,4226
67,2014-02-26,3,5838.0,696,0,0.0,0,6995
68,2014-02-26,3,5541.0,948,0,0.0,0,5551
69,2014-02-26,3,6837.0,983,0,0.0,0,7334
70,2014-02-26,3,5004.0,580,0,0.0,0,5283
71,2014-02-26,3,6651.0,643,0,0.0,0,5933
72,2014-02-26,3,3225.0,378,0,0.0,0,3996
73,2014-02-26,3,3628.0,475,0,0.0,0,3020
74,2014-02-26,3,5844.0,877,0,0.0,0,6428
75,2014-02-26,3,4255.0,505,0,0.0,0,5379
76,2014-02-26,3,7064.0,788,0,0.0,0,11281
77,2014-02-26,3,5151.0,513,0,0.0,0,5764
78,2014-02-26,3,2748.0,426,0,0.0,0,481
79,2014-02-26,3,3780.0,449,0,0.0,0,4057
80,2014-02-26,3,5564.0,474,0,0.0,0,5868
81,2014-02-26,3,5566.0,509,0,0.0,0,6317
82,2014-02-26,3,7673.0,836,0,0.0,0,7527
83,2014-02-26,3,3720.0,351,0,0.0,0,3974
84,2014-02-26,3,10475.0,1379,0,0.0,0,9004
85,2014-02-26,3,4691.0,739,0,0.0,0,5859
86,2014-02-26,3,3664.0,535,0,0.0,0,3834
87,2014-02-26,3,5300.0,694,0,0.0,0,5374
