Store,Promo,POST_Promo,Sales,POST_Sales
1,0.5,0.5,4434.0,5256.5
10,0.5,0.5,4899.75,5412.5
100,0.5,0.5,6665.5,7122.5
1000,0.5,0.5,6423.75,5436.75
1001,0.5,0.5,4702.75,5269.5
1002,0.5,0.5,5697.5,4688.0
1003,0.5,0.5,6723.5,5370.5
1004,0.5,0.5,4414.5,4485.0
1005,0.5,0.5,5273.25,6034.0
1006,0.5,0.5,5758.25,6771.75
1007,0.5,0.5,5960.0,6163.0
1008,0.5,0.5,5070.5,5064.5
1009,0.5,0.5,4571.25,4756.25
101,0.5,0.5,6904.5,7478.25
1010,0.5,0.5,7689.25,7517.75
1011,0.5,0.5,7602.0,7582.75
1012,0.5,0.5,5202.75,5501.75
1013,0.5,0.5,4030.25,4477.0
1014,0.5,0.5,12023.0,8684.75
1015,0.5,0.5,5515.0,4765.25
1016,0.5,0.5,5005.25,5798.25
1017,0.5,0.5,7046.0,6608.25
1018,0.5,0.5,10255.0,8624.5
1019,0.5,0.5,7769.75,7354.25
102,0.5,0.5,6326.75,6076.75
1020,0.5,0.5,8054.75,7240.75
1021,0.5,0.5,7781.0,7109.5
1022,0.5,0.5,6477.75,6610.0
1023,0.5,0.5,5463.75,5831.25
1024,0.5,0.5,5421.75,6710.75
1025,0.5,0.5,7363.75,5799.25
1026,0.5,0.5,8593.75,7496.75
1027,0.5,0.5,12018.25,8465.5
1028,0.5,0.5,4263.75,4877.5
1029,0.5,0.5,5410.25,5219.25
103,0.5,0.5,3900.75,4407.0
1030,0.5,0.5,3208.75,4603.75
1031,0.5,0.5,4072.25,4936.5
1032,0.5,0.5,8171.5,7651.75
1033,0.5,0.5,13077.75,8886.75
1034,0.5,0.5,6268.0,5536.5
1035,0.5,0.5,4547.5,4171.25
1036,0.5,0.5,4239.0,5290.5
1037,0.5,0.5,6426.5,5121.75
1038,0.5,0.5,4840.25,5571.75
1039,0.5,0.5,7592.0,7435.75
104,0.5,0.5,9177.75,6466.5
1040,0.5,0.5,7849.0,7480.0
1041,0.5,0.5,5332.25,5963.0
1042,0.5,0.5,4017.0,4329.75
1043,0.5,0.5,7629.0,7875.25
1044,0.5,0.5,6044.75,5988.5
1045,0.5,0.5,6124.5,5487.25
1046,0.5,0.5,7835.5,6697.5
1047,0.5,0.5,4745.75,5248.75
1048,0.5,0.5,5959.75,6997.25
1049,0.5,0.5,3712.5,3727.5
105,0.5,0.5,4193.0,4711.75
1050,0.5,0.5,6856.5,6874.0
1051,0.5,0.5,7191.0,5822.75
1052,0.5,0.5,6674.25,7035.5
1053,0.5,0.5,9054.75,7767.0
1054,0.5,0.5,5486.5,7122.25
1055,0.5,0.5,7178.75,7583.5
1056,0.5,0.5,3234.25,5221.25
1057,0.5,0.5,5379.25,5696.0
1058,0.5,0.5,7018.75,6604.0
1059,0.5,0.5,7736.0,7186.25
106,0.5,0.5,8586.0,6911.75
1060,0.5,0.5,7049.5,6723.25
1061,0.5,0.5,6524.5,6522.0
1062,0.5,0.5,5508.0,6049.25
1063,0.5,0.5,3876.0,5157.0
1064,0.5,0.5,8848.75,8030.0
1065,0.5,0.5,3904.0,5073.75
