Store,Date,DayOfWeek,Sales,Customers,Promo,POST_Promo,POST_Customers,POST_Sales
1,2014-02-26,3,4108.0,491,0,0,735,5117
2,2014-02-26,3,4548.0,632,0,0,508,4115
3,2014-02-26,3,4580.0,640,0,0,464,4655
4,2014-02-26,3,6987.0,1100,0,0,513,3223
5,2014-02-26,3,3568.0,548,0,0,651,3116
6,2014-02-26,3,4111.0,545,0,0,792,5285
7,2014-02-26,3,5812.0,746,0,0,492,4465
8,2014-02-26,3,3719.0,560,0,0,1062,5642
9,2014-02-26,3,5627.0,527,0,0,497,4015
10,2014-02-26,3,4253.0,560,0,0,512,3747
11,2014-02-26,3,7000.0,1120,0,0,369,4197
12,2014-02-26,3,5680.0,794,0,0,773,6127
13,2014-02-26,3,2820.0,255,0,0,462,3846
14,2014-02-26,3,4408.0,574,0,0,724,4289
15,2014-02-26,3,4507.0,488,0,0,336,3932
16,2014-02-26,3,6439.0,802,0,0,325,4852
17,2014-02-26,3,4426.0,671,0,0,1109,5603
18,2014-02-26,3,4630.0,627,0,0,399,3546
19,2014-02-26,3,5543.0,571,0,0,1102,5907
20,2014-02-26,3,6497.0,834,0,0,325,4127
21,2014-02-26,3,3675.0,384,0,0,750,4492
22,2014-02-26,3,4192.0,554,0,0,826,6218
23,2014-02-26,3,4393.0,426,0,0,1023,6379
24,2014-02-26,3,6937.0,663,0,0,642,7337
25,2014-02-26,3,10499.0,1626,0,0,1376,14937
26,2014-02-26,3,4669.0,430,0,0,754,4866
27,2014-02-26,3,6027.0,838,0,0,449,5224
28,2014-02-26,3,4348.0,481,0,0,630,3989
29,2014-02-26,3,4990.0,531,0,0,1679,6825
30,2014-02-26,3,5228.0,888,0,0,743,3981
31,2014-02-26,3,4426.0,461,0,0,455,3781
32,2014-02-26,3,2849.0,414,0,0,829,3561
33,2014-02-26,3,8052.0,887,0,0,688,5157
34,2014-02-26,3,6121.0,862,0,0,1784,9412
35,2014-02-26,3,6870.0,599,0,0,595,6695
36,2014-02-26,3,6648.0,890,0,0,670,6935
37,2014-02-26,3,4276.0,543,0,0,435,5116
38,2014-02-26,3,4765.0,516,0,0,605,4601
39,2014-02-26,3,4511.0,657,0,0,326,3277
40,2014-02-26,3,4378.0,603,0,0,862,5027
41,2014-02-26,3,3475.0,327,0,0,603,5364
42,2014-02-26,3,8588.0,1075,0,0,575,4523
43,2014-02-26,3,7152.0,737,0,0,509,4165
44,2014-02-26,3,4379.0,587,0,0,482,4443
45,2014-02-26,3,3780.0,351,0,0,743,4386
46,2014-02-26,3,3269.0,486,0,0,486,3926
47,2014-02-26,3,5289.0,829,0,0,642,5890
48,2014-02-26,3,3412.0,403,0,0,408,3032
49,2014-02-26,3,5977.0,448,0,0,776,5607
50,2014-02-26,3,3070.0,292,0,0,525,1776
51,2014-02-26,3,4245.0,404,0,0,494,5068
52,2014-02-26,3,6268.0,451,0,0,989,7322
53,2014-02-26,3,3767.0,471,0,0,231,1903
54,2014-02-26,3,4378.0,491,0,0,822,6668
55,2014-02-26,3,3638.0,503,0,0,379,2703
56,2014-02-26,3,4603.0,359,0,0,516,4364
57,2014-02-26,3,7942.0,799,0,0,574,6365
58,2014-02-26,3,4915.0,443,0,0,567,4520
59,2014-02-26,3,4552.0,533,0,0,3165,4165
60,2014-02-26,3,6622.0,710,0,0,935,6547
61,2014-02-26,3,3980.0,520,0,0,832,5043
62,2014-02-26,3,6975.0,861,0,0,497,4564
63,2014-02-26,3,4202.0,437,0,0,716,5007
64,2014-02-26,3,8600.0,753,0,0,753,7745
65,2014-02-26,3,3352.0,345,0,0,340,3480
66,2014-02-26,3,3999.0,398,0,0,1097,5728
67,2014-02-26,3,5838.0,696,0,0,595,5670
68,2014-02-26,3,5541.0,948,0,0,415,4702
69,2014-02-26,3,6837.0,983,0,0,498,5563
70,2014-02-26,3,5004.0,580,0,0,831,5954
71,2014-02-26,3,6651.0,643,0,0,365,5518
72,2014-02-26,3,3225.0,378,0,0,576,4391
73,2014-02-26,3,3628.0,475,0,0,438,4528
74,2014-02-26,3,5844.0,877,0,0,597,4645
75,2014-02-26,3,4255.0,505,0,0,1176,6481
76,2014-02-26,3,7064.0,788,0,0,446,4961
77,2014-02-26,3,5151.0,513,0,0,362,4672
78,2014-02-26,3,2748.0,426,0,0,426,3522
79,2014-02-26,3,3780.0,449,0,0,517,4774
80,2014-02-26,3,5564.0,474,0,0,526,2378
81,2014-02-26,3,5566.0,509,0,0,653,5152
82,2014-02-26,3,7673.0,836,0,0,407,6243
83,2014-02-26,3,3720.0,351,0,0,645,4122
84,2014-02-26,3,10475.0,1379,0,0,595,6480
85,2014-02-26,3,4691.0,739,0,0,924,5733
86,2014-02-26,3,3664.0,535,0,0,1063,6234
87,2014-02-26,3,5300.0,694,0,0,922,6784
88,2014-02-26,3,4493.0,555,0,0,898,5491
89,2014-02-26,3,5171.0,613,0,0,458,3808
90,2014-02-26,3,6716.0,1007,0,0,1483,8387
91,2014-02-26,3,5375.0,663,0,0,481,5100
92,2014-02-26,3,3974.0,404,0,0,595,6958
93,2014-02-26,3,4147.0,517,0,0,629,5860
94,2014-02-26,3,5377.0,573,0,0,537,4879
95,2014-02-26,3,5286.0,657,0,0,717,5934
96,2014-02-26,3,4377.0,550,0,0,468,4736
97,2014-02-26,3,4501.0,523,0,0,765,6760
98,2014-02-26,3,3085.0,335,0,0,383,3931
99,2014-02-26,3,3600.0,355,0,0,360,3948
100,2014-02-26,3,5928.0,607,0,0,961,6648
101,2014-02-26,3,6376.0,711,0,0,977,5897
102,2014-02-26,3,4397.0,768,0,0,627,5762
103,2014-02-26,3,3612.0,357,0,0,433,4468
104,2014-02-26,3,8593.0,1236,0,0,769,7505
105,2014-02-26,3,3909.0,530,0,0,682,4996
106,2014-02-26,3,8042.0,855,0,0,874,6754
107,2014-02-26,3,5785.0,884,0,0,906,6118
108,2014-02-26,3,8253.0,730,0,0,708,7964
109,2014-02-26,3,4761.0,619,0,0,802,5628
110,2014-02-26,3,3515.0,538,0,0,492,1802
111,2014-02-26,3,4861.0,456,0,0,1030,5570
112,2014-02-26,3,5638.0,737,0,0,441,5086
113,2014-02-26,3,6064.0,649,0,0,518,5794
114,2014-02-26,3,4513.0,598,0,0,593,2255
115,2014-02-26,3,5366.0,472,0,0,805,5597
116,2014-02-26,3,5536.0,666,0,0,368,4452
117,2014-02-26,3,3536.0,497,0,0,725,3623
118,2014-02-26,3,5296.0,505,0,0,452,3252
119,2014-02-26,3,5083.0,651,0,0,294,2408
120,2014-02-26,3,5108.0,539,0,0,489,4368
121,2014-02-26,3,3522.0,429,0,0,902,5102
122,2014-02-26,3,4451.0,601,0,0,583,3657
123,2014-02-26,3,6196.0,877,0,0,1343,8589
124,2014-02-26,3,3528.0,504,0,0,723,4793
125,2014-02-26,3,9417.0,1428,0,0,917,9759
126,2014-02-26,3,5594.0,608,0,0,423,6408
127,2014-02-26,3,4156.0,530,0,0,641,4622
128,2014-02-26,3,5305.0,499,0,0,550,6152
129,2014-02-26,3,6957.0,1027,0,0,1034,7415
130,2014-02-26,3,4371.0,550,0,0,430,3896
131,2014-02-26,3,5142.0,626,0,0,1124,5367
132,2014-02-26,3,4787.0,514,0,0,358,5859
133,2014-02-26,3,4578.0,608,0,0,779,5226
134,2014-02-26,3,4350.0,470,0,0,498,4099
135,2014-02-26,3,4278.0,423,0,0,952,5568
136,2014-02-26,3,3972.0,364,0,0,264,2862
137,2014-02-26,3,6768.0,883,0,0,606,6727
138,2014-02-26,3,5471.0,591,0,0,826,6219
139,2014-02-26,3,5234.0,474,0,0,464,4724
140,2014-02-26,3,6592.0,944,0,0,308,4358
141,2014-02-26,3,3943.0,496,0,0,861,4838
142,2014-02-26,3,5578.0,730,0,0,1453,5108
143,2014-02-26,3,4510.0,462,0,0,563,4190
144,2014-02-26,3,6034.0,630,0,0,385,7790
145,2014-02-26,3,6117.0,1054,0,0,577,5600
146,2014-02-26,3,5488.0,604,0,0,512,4842
147,2014-02-26,3,5673.0,716,0,0,530,6127
148,2014-02-26,3,6997.0,733,0,0,946,6843
149,2014-02-26,3,4272.0,453,0,0,620,4782
150,2014-02-26,3,6410.0,645,0,0,684,6293
151,2014-02-26,3,4601.0,519,0,0,866,5234
152,2014-02-26,3,5342.0,728,0,0,329,3863
153,2014-02-26,3,5042.0,605,0,0,700,5580
154,2014-02-26,3,5854.0,579,0,0,744,7685
155,2014-02-26,3,4500.0,522,0,0,704,5465
156,2014-02-26,3,5164.0,627,0,0,629,5437
157,2014-02-26,3,8413.0,1003,0,0,419,4431
158,2014-02-26,3,6247.0,403,0,0,625,7045
159,2014-02-26,3,5354.0,533,0,0,687,5718
160,2014-02-26,3,3597.0,418,0,0,518,4770
161,2014-02-26,3,6859.0,903,0,0,759,5902
162,2014-02-26,3,4850.0,400,0,0,558,5483
163,2014-02-26,3,6104.0,816,0,0,928,5886
164,2014-02-26,3,4708.0,578,0,0,621,6021
165,2014-02-26,3,3987.0,421,0,0,583,3764
166,2014-02-26,3,4604.0,708,0,0,438,4407
167,2014-02-26,3,6265.0,906,0,0,1053,7507
168,2014-02-26,3,5894.0,661,0,0,577,7039
169,2014-02-26,3,5701.0,666,0,0,418,4632
170,2014-02-26,3,4612.0,551,0,0,549,3656
171,2014-02-26,3,6116.0,762,0,0,798,7246
172,2014-02-26,3,5790.0,791,0,0,489,6323
173,2014-02-26,3,5906.0,886,0,0,804,6741
174,2014-02-26,3,5028.0,438,0,0,736,5028
175,2014-02-26,3,4447.0,603,0,0,910,5479
176,2014-02-26,3,3842.0,571,0,0,668,5012
177,2014-02-26,3,3615.0,500,0,0,609,2117
178,2014-02-26,3,7294.0,754,0,0,405,3953
179,2014-02-26,3,5316.0,797,0,0,525,5011
180,2014-02-26,3,5436.0,713,0,0,871,6218
181,2014-02-26,3,4476.0,569,0,0,247,2852
182,2014-02-26,3,3877.0,354,0,0,985,7201
183,2014-02-26,3,3601.0,533,0,0,631,3751
184,2014-02-26,3,5873.0,628,0,0,470,6742
185,2014-02-26,3,4741.0,395,0,0,915,6200
186,2014-02-26,3,2692.0,319,0,0,410,3523
187,2014-02-26,3,4854.0,701,0,0,282,3862
188,2014-02-26,3,3505.0,367,0,0,795,4525
189,2014-02-26,3,8752.0,887,0,0,944,7216
190,2014-02-26,3,5675.0,628,0,0,367,7073
191,2014-02-26,3,5442.0,657,0,0,947,5878
192,2014-02-26,3,5637.0,442,0,0,559,5845
193,2014-02-26,3,4119.0,741,0,0,728,4737
194,2014-02-26,3,4135.0,425,0,0,626,4185
195,2014-02-26,3,10639.0,1457,0,0,707,8660
196,2014-02-26,3,3740.0,609,0,0,307,3708
197,2014-02-26,3,5033.0,734,0,0,818,5569
198,2014-02-26,3,1574.0,219,0,0,403,2598
199,2014-02-26,3,5836.0,543,0,0,645,6268
200,2014-02-26,3,7926.0,1049,0,0,598,5804
201,2014-02-26,3,4842.0,517,0,0,578,3794
202,2014-02-26,3,5017.0,446,0,0,728,5738
203,2014-02-26,3,5881.0,874,0,0,721,5856
204,2014-02-26,3,5301.0,497,0,0,577,4592
205,2014-02-26,3,4412.0,728,0,0,803,3886
206,2014-02-26,3,5645.0,711,0,0,677,5841
207,2014-02-26,3,8418.0,1171,0,0,346,4535
208,2014-02-26,3,2294.0,337,0,0,874,3513
209,2014-02-26,3,4207.0,480,0,0,376,5304
210,2014-02-26,3,2609.0,270,0,0,571,3438
211,2014-02-26,3,11255.0,1409,0,0,578,5322
212,2014-02-26,3,4171.0,472,0,0,546,3246
213,2014-02-26,3,6671.0,586,0,0,250,3969
214,2014-02-26,3,9005.0,791,0,0,501,5215
215,2014-02-26,3,4200.0,381,0,0,1762,7230
216,2014-02-26,3,6342.0,879,0,0,496,5598
217,2014-02-26,3,3568.0,539,0,0,389,3132
218,2014-02-26,3,4583.0,679,0,0,516,3032
219,2014-02-26,3,3091.0,454,0,0,861,4540
220,2014-02-26,3,4636.0,677,0,0,727,5357
221,2014-02-26,3,3609.0,392,0,0,702,4697
222,2014-02-26,3,4315.0,528,0,0,701,3963
223,2014-02-26,3,5159.0,635,0,0,1273,6874
224,2014-02-26,3,4689.0,391,0,0,559,4234
225,2014-02-26,3,3491.0,429,0,0,574,4267
226,2014-02-26,3,5456.0,608,0,0,427,4720
227,2014-02-26,3,6336.0,667,0,0,474,4489
228,2014-02-26,3,5301.0,453,0,0,980,6256
229,2014-02-26,3,6370.0,640,0,0,487,5749
230,2014-02-26,3,5851.0,794,0,0,435,6485
231,2014-02-26,3,3190.0,303,0,0,850,5301
232,2014-02-26,3,1939.0,235,0,0,525,3734
233,2014-02-26,3,7343.0,899,0,0,410,4819
