Store,Date,DayOfWeek,Sales,Customers,Promo,POST_Promo,POST_Sales
1,2014-02-26,3,4108.0,491,0,0,3989
2,2014-02-26,3,4548.0,632,0,0,4199
3,2014-02-26,3,4580.0,640,0,0,4634
4,2014-02-26,3,6987.0,1100,0,0,5863
5,2014-02-26,3,3568.0,548,0,0,4848
6,2014-02-26,3,4111.0,545,0,0,2903
7,2014-02-26,3,5812.0,746,0,0,6553
8,2014-02-26,3,3719.0,560,0,0,4836
9,2014-02-26,3,5627.0,527,0,0,5229
10,2014-02-26,3,4253.0,560,0,0,1326
11,2014-02-26,3,7000.0,1120,0,0,5055
12,2014-02-26,3,5680.0,794,0,0,5066
13,2014-02-26,3,2820.0,255,0,0,3912
14,2014-02-26,3,4408.0,574,0,0,5421
15,2014-02-26,3,4507.0,488,0,0,4793
16,2014-02-26,3,6439.0,802,0,0,6529
17,2014-02-26,3,4426.0,671,0,0,4526
18,2014-02-26,3,4630.0,627,0,0,4420
19,2014-02-26,3,5543.0,571,0,0,6266
20,2014-02-26,3,6497.0,834,0,0,5842
21,2014-02-26,3,3675.0,384,0,0,3749
22,2014-02-26,3,4192.0,554,0,0,2485
23,2014-02-26,3,4393.0,426,0,0,3862
24,2014-02-26,3,6937.0,663,0,0,6483
25,2014-02-26,3,10499.0,1626,0,0,10943
26,2014-02-26,3,4669.0,430,0,0,4864
27,2014-02-26,3,6027.0,838,0,0,6878
28,2014-02-26,3,4348.0,481,0,0,4754
29,2014-02-26,3,4990.0,531,0,0,6014
30,2014-02-26,3,5228.0,888,0,0,3660
31,2014-02-26,3,4426.0,461,0,0,4873
32,2014-02-26,3,2849.0,414,0,0,3380
33,2014-02-26,3,8052.0,887,0,0,8114
34,2014-02-26,3,6121.0,862,0,0,5263
35,2014-02-26,3,6870.0,599,0,0,6706
36,2014-02-26,3,6648.0,890,0,0,6084
37,2014-02-26,3,4276.0,543,0,0,4467
38,2014-02-26,3,4765.0,516,0,0,3228
39,2014-02-26,3,4511.0,657,0,0,5381
40,2014-02-26,3,4378.0,603,0,0,3610
41,2014-02-26,3,3475.0,327,0,0,4043
42,2014-02-26,3,8588.0,1075,0,0,7461
43,2014-02-26,3,7152.0,737,0,0,4623
44,2014-02-26,3,4379.0,587,0,0,5363
45,2014-02-26,3,3780.0,351,0,0,4748
46,2014-02-26,3,3269.0,486,0,0,4357
47,2014-02-26,3,5289.0,829,0,0,6681
48,2014-02-26,3,3412.0,403,0,0,5563
49,2014-02-26,3,5977.0,448,0,0,6104
50,2014-02-26,3,3070.0,292,0,0,3346
51,2014-02-26,3,4245.0,404,0,0,4883
52,2014-02-26,3,6268.0,451,0,0,5280
53,2014-02-26,3,3767.0,471,0,0,3411
54,2014-02-26,3,4378.0,491,0,0,7612
55,2014-02-26,3,3638.0,503,0,0,804
56,2014-02-26,3,4603.0,359,0,0,4134
57,2014-02-26,3,7942.0,799,0,0,9806
58,2014-02-26,3,4915.0,443,0,0,4175
59,2014-02-26,3,4552.0,533,0,0,5252
60,2014-02-26,3,6622.0,710,0,0,5432
61,2014-02-26,3,3980.0,520,0,0,2819
62,2014-02-26,3,6975.0,861,0,0,6067
63,2014-02-26,3,4202.0,437,0,0,6758
64,2014-02-26,3,8600.0,753,0,0,8070
65,2014-02-26,3,3352.0,345,0,0,3899
66,2014-02-26,3,3999.0,398,0,0,4132
67,2014-02-26,3,5838.0,696,0,0,5357
68,2014-02-26,3,5541.0,948,0,0,6878
69,2014-02-26,3,6837.0,983,0,0,6744
70,2014-02-26,3,5004.0,580,0,0,4513
71,2014-02-26,3,6651.0,643,0,0,5108
72,2014-02-26,3,3225.0,378,0,0,3277
73,2014-02-26,3,3628.0,475,0,0,2818
74,2014-02-26,3,5844.0,877,0,0,4083
75,2014-02-26,3,4255.0,505,0,0,3954
76,2014-02-26,3,7064.0,788,0,0,5604
77,2014-02-26,3,5151.0,513,0,0,4845
78,2014-02-26,3,2748.0,426,0,0,3078
79,2014-02-26,3,3780.0,449,0,0,3454
80,2014-02-26,3,5564.0,474,0,0,6356
81,2014-02-26,3,5566.0,509,0,0,5162
82,2014-02-26,3,7673.0,836,0,0,5238
83,2014-02-26,3,3720.0,351,0,0,3776
84,2014-02-26,3,10475.0,1379,0,0,10719
85,2014-02-26,3,4691.0,739,0,0,5403
86,2014-02-26,3,3664.0,535,0,0,2567
87,2014-02-26,3,5300.0,694,0,0,4935
88,2014-02-26,3,4493.0,555,0,0,3363
89,2014-02-26,3,5171.0,613,0,0,4747
90,2014-02-26,3,6716.0,1007,0,0,6059
91,2014-02-26,3,5375.0,663,0,0,5176
92,2014-02-26,3,3974.0,404,0,0,4997
93,2014-02-26,3,4147.0,517,0,0,2395
94,2014-02-26,3,5377.0,573,0,0,4433
95,2014-02-26,3,5286.0,657,0,0,4824
96,2014-02-26,3,4377.0,550,0,0,2428
97,2014-02-26,3,4501.0,523,0,0,5436
98,2014-02-26,3,3085.0,335,0,0,4379
99,2014-02-26,3,3600.0,355,0,0,4471
100,2014-02-26,3,5928.0,607,0,0,6107
101,2014-02-26,3,6376.0,711,0,0,5696
102,2014-02-26,3,4397.0,768,0,0,2263
103,2014-02-26,3,3612.0,357,0,0,3152
104,2014-02-26,3,8593.0,1236,0,0,8228
105,2014-02-26,3,3909.0,530,0,0,3446
106,2014-02-26,3,8042.0,855,0,0,6928
107,2014-02-26,3,5785.0,884,0,0,5349
108,2014-02-26,3,8253.0,730,0,0,8716
109,2014-02-26,3,4761.0,619,0,0,4611
110,2014-02-26,3,3515.0,538,0,0,4180
111,2014-02-26,3,4861.0,456,0,0,5091
112,2014-02-26,3,5638.0,737,0,0,4123
113,2014-02-26,3,6064.0,649,0,0,6747
114,2014-02-26,3,4513.0,598,0,0,4399
115,2014-02-26,3,5366.0,472,0,0,5832
116,2014-02-26,3,5536.0,666,0,0,5760
117,2014-02-26,3,3536.0,497,0,0,3910
118,2014-02-26,3,5296.0,505,0,0,4905
119,2014-02-26,3,5083.0,651,0,0,5371
120,2014-02-26,3,5108.0,539,0,0,6116
121,2014-02-26,3,3522.0,429,0,0,2779
122,2014-02-26,3,4451.0,601,0,0,2870
123,2014-02-26,3,6196.0,877,0,0,6926
124,2014-02-26,3,3528.0,504,0,0,4598
125,2014-02-26,3,9417.0,1428,0,0,8208
126,2014-02-26,3,5594.0,608,0,0,4905
127,2014-02-26,3,4156.0,530,0,0,3063
128,2014-02-26,3,5305.0,499,0,0,4582
129,2014-02-26,3,6957.0,1027,0,0,7082
130,2014-02-26,3,4371.0,550,0,0,3891
131,2014-02-26,3,5142.0,626,0,0,4049
132,2014-02-26,3,4787.0,514,0,0,5149
133,2014-02-26,3,4578.0,608,0,0,4387
134,2014-02-26,3,4350.0,470,0,0,5165
135,2014-02-26,3,4278.0,423,0,0,4736
136,2014-02-26,3,3972.0,364,0,0,4922
137,2014-02-26,3,6768.0,883,0,0,6701
138,2014-02-26,3,5471.0,591,0,0,5710
139,2014-02-26,3,5234.0,474,0,0,4521
140,2014-02-26,3,6592.0,944,0,0,5768
141,2014-02-26,3,3943.0,496,0,0,3711
142,2014-02-26,3,5578.0,730,0,0,2344
143,2014-02-26,3,4510.0,462,0,0,5147
144,2014-02-26,3,6034.0,630,0,0,4254
145,2014-02-26,3,6117.0,1054,0,0,5513
146,2014-02-26,3,5488.0,604,0,0,5251
147,2014-02-26,3,5673.0,716,0,0,6959
148,2014-02-26,3,6997.0,733,0,0,6276
149,2014-02-26,3,4272.0,453,0,0,4988
150,2014-02-26,3,6410.0,645,0,0,7809
151,2014-02-26,3,4601.0,519,0,0,5726
152,2014-02-26,3,5342.0,728,0,0,4505
153,2014-02-26,3,5042.0,605,0,0,5937
154,2014-02-26,3,5854.0,579,0,0,6956
155,2014-02-26,3,4500.0,522,0,0,5856
156,2014-02-26,3,5164.0,627,0,0,5400
157,2014-02-26,3,8413.0,1003,0,0,8147
158,2014-02-26,3,6247.0,403,0,0,7062
159,2014-02-26,3,5354.0,533,0,0,5992
160,2014-02-26,3,3597.0,418,0,0,1928
161,2014-02-26,3,6859.0,903,0,0,5587
162,2014-02-26,3,4850.0,400,0,0,6230
