Store,Promo,POST_Promo,Sales,POST_Sales
1,0.5,0.5,4434.0,4170.75
10,0.5,0.5,4899.75,4621.25
100,0.5,0.5,6665.5,6892.0
1000,0.5,0.5,6423.75,7045.0
1001,0.5,0.5,4702.75,4512.75
1002,0.5,0.5,5697.5,5602.75
1003,0.5,0.5,6723.5,6483.25
1004,0.5,0.5,4414.5,4676.75
1005,0.5,0.5,5273.25,4741.0
1006,0.5,0.5,5758.25,6244.75
1007,0.5,0.5,5960.0,8107.5
1008,0.5,0.5,5070.5,4977.75
1009,0.5,0.5,4571.25,4503.25
101,0.5,0.5,6904.5,6561.25
1010,0.5,0.5,7689.25,8447.5
1011,0.5,0.5,7602.0,7922.75
1012,0.5,0.5,5202.75,5675.5
1013,0.5,0.5,4030.25,3532.0
1014,0.5,0.5,12023.0,11531.25
1015,0.5,0.5,5515.0,5121.0
1016,0.5,0.5,5005.25,5434.75
1017,0.5,0.5,7046.0,6993.25
1018,0.5,0.5,10255.0,10595.75
1019,0.5,0.5,7769.75,8180.0
102,0.5,0.5,6326.75,6211.0
1020,0.5,0.5,8054.75,7762.75
1021,0.5,0.5,7781.0,8069.25
1022,0.5,0.5,6477.75,6572.0
1023,0.5,0.5,5463.75,5193.0
1024,0.5,0.5,5421.75,5038.75
1025,0.5,0.5,7363.75,7006.75
1026,0.5,0.5,8593.75,8947.0
1027,0.5,0.5,12018.25,12250.5
1028,0.5,0.5,4263.75,4937.5
1029,0.5,0.5,5410.25,3958.75
103,0.5,0.5,3900.75,2802.0
1030,0.5,0.5,3208.75,3591.25
1031,0.5,0.5,4072.25,4359.5
1032,0.5,0.5,8171.5,7933.75
1033,0.5,0.5,13077.75,12410.25
1034,0.5,0.5,6268.0,5682.5
1035,0.5,0.5,4547.5,3507.5
1036,0.5,0.5,4239.0,4411.5
1037,0.5,0.5,6426.5,6475.25
1038,0.5,0.5,4840.25,5110.25
1039,0.5,0.5,7592.0,6968.75
104,0.5,0.5,9177.75,8820.25
1040,0.5,0.5,7849.0,8246.25
1041,0.5,0.5,5332.25,5679.25
1042,0.5,0.5,4017.0,3393.25
1043,0.5,0.5,7629.0,6691.75
1044,0.5,0.5,6044.75,6209.25
1045,0.5,0.5,6124.5,6655.75
1046,0.5,0.5,7835.5,8060.5
1047,0.5,0.5,4745.75,5745.75
1048,0.5,0.5,5959.75,6345.25
1049,0.5,0.5,3712.5,3763.5
105,0.5,0.5,4193.0,4570.5
1050,0.5,0.5,6856.5,6498.25
1051,0.5,0.5,7191.0,6706.25
1052,0.5,0.5,6674.25,6462.25
1053,0.5,0.5,9054.75,8070.25
1054,0.5,0.5,5486.5,5182.5
1055,0.5,0.5,7178.75,6868.75
1056,0.5,0.5,3234.25,3275.5
1057,0.5,0.5,5379.25,4798.0
1058,0.5,0.5,7018.75,6666.0
1059,0.5,0.5,7736.0,7786.0
106,0.5,0.5,8586.0,7418.0
1060,0.5,0.5,7049.5,7106.75
1061,0.5,0.5,6524.5,7074.25
1062,0.5,0.5,5508.0,5765.75
1063,0.5,0.5,3876.0,4045.75
1064,0.5,0.5,8848.75,8639.0
1065,0.5,0.5,3904.0,3747.5
1066,0.5,0.5,10682.5,10217.25
1067,0.5,0.5,5196.25,4238.75
